site,DOY,year,area,larvae_perarea,nymphs_perarea,larvae,nymphs
BLAN,76,2016,654,0,0,0,0
BLAN,78,2016,328,0,0,0,0
BLAN,95,2016,820,0,0,0,0
BLAN,97,2016,166,0,0,0,0
BLAN,116,2016,975,0,0.003076923,0,3
BLAN,137,2016,974,0,0.027720739,0,27
BLAN,158,2016,959,0,0.047966632,0,46
BLAN,179,2016,951,0.05362776,0.022082019,51,21
BLAN,200,2016,899,0.480533927,0.003337041,432,3
BLAN,221,2016,969,0.205366357,0.004127967,199,4
BLAN,242,2016,964,0.082987552,0.004149378,80,4
BLAN,266,2016,969,0.015479876,0.002063983,15,2
BLAN,285,2016,960,0,0.003125,0,3
BLAN,313,2016,163,0,0,0,0
BLAN,326,2016,967,0,0,0,0
BLAN,88,2017,485,0,0,0,0
BLAN,89,2017,469,0,0,0,0
BLAN,108,2017,944,0,0.001059322,0,1
BLAN,128,2017,947,0,0.027455121,0,26
BLAN,151,2017,483,0,0,0,0
BLAN,152,2017,470,0,0.087234043,0,41
BLAN,170,2017,645,0,0.024806202,0,16
BLAN,171,2017,319,0,0.012539185,0,4
BLAN,191,2017,950,0.625263158,0.006315789,594,6
BLAN,212,2017,564,0.540780142,0.024822695,305,14
BLAN,213,2017,320,0.253125,0,81,0
BLAN,233,2017,480,0.254166667,0,122,0
BLAN,234,2017,476,0.044117647,0,21,0
BLAN,251,2017,942,0.047770701,0.002123142,45,2
BLAN,275,2017,950,0.015789474,0.001052632,15,1
BLAN,74,2018,989,0,0,0,0
BLAN,95,2018,979,0,0,0,0
BLAN,113,2018,954,0,0.001048218,0,1
BLAN,134,2018,913,0,0.007667032,0,7
BLAN,158,2018,964,0,0.01659751,0,16
BLAN,177,2018,960,0,0.010416667,0,10
BLAN,199,2018,818,0,0,0,0
BLAN,201,2018,166,0,0,0,0
BLAN,218,2018,967,0.141675284,0.002068252,137,2
BLAN,239,2018,784,0.086734694,0.005102041,68,4
BLAN,241,2018,148,0.054054054,0,8,0
BLAN,263,2018,953,0.0818468,0.008394544,78,8
BLAN,72,2019,953,0,0,0,0
BLAN,112,2019,157,0,0.012738854,0,2
BLAN,135,2019,648,0,0.00308642,0,2
BLAN,154,2019,492,0,0.006097561,0,3
BLAN,157,2019,315,0,0.015873016,0,5
BLAN,172,2019,163,0,0,0,0
BLAN,175,2019,160,0,0.00625,0,1
BLAN,182,2019,156,0.448717949,0,70,0
BLAN,196,2019,325,0.830769231,0.006153846,270,2
BLAN,198,2019,325,0.018461538,0.003076923,6,1
BLAN,217,2019,801,0.15980025,0.002496879,128,2
BLAN,238,2019,635,0.086614173,0.004724409,55,3
BLAN,259,2019,297,0.420875421,0,125,0
BLAN,261,2019,310,0.012903226,0,4,0
BLAN,167,2020,157,0,0,0,0
BLAN,188,2020,490,0.087755102,0.006122449,43,3
BLAN,209,2020,795,0.134591195,0.001257862,107,1
BLAN,258,2020,325,0.012307692,0.006153846,4,2
BLAN,259,2020,160,0.14375,0,23,0
BLAN,81,2021,163,0,0,0,0
BLAN,102,2021,625,0,0.0016,0,1
BLAN,118,2021,649,0,0.006163328,0,4
BLAN,146,2021,484,0,0.053719008,0,26
BLAN,147,2021,140,0,0.007142857,0,1
BLAN,165,2021,165,0,0,0,0
BLAN,168,2021,329,0,0.048632219,0,16
BLAN,187,2021,326,0.119631902,0.006134969,39,2
BLAN,189,2021,157,0.898089172,0.012738854,141,2
BLAN,207,2021,625,2.1712,0.0112,1357,7
BLAN,228,2021,145,0.103448276,0,15,0
BLAN,235,2021,485,1.059793814,0.008247423,514,4
BLAN,250,2021,808,2.127475248,0.00990099,1719,8
BLAN,81,2022,151,0,0.013245033,0,2
BLAN,101,2022,158,0,0.006329114,0,1
BLAN,122,2022,315,0,0.012698413,0,4
BLAN,143,2022,464,0,0.040948276,0,19
BLAN,164,2022,628,0,0.02388535,0,15
BLAN,188,2022,300,0.516666667,0.003333333,155,1
BLAN,206,2022,320,0.009375,0,3,0
BLAN,229,2022,467,0.145610278,0.002141328,68,1
BLAN,230,2022,460,0.652173913,0.004347826,300,2
BLAN,79,2023,172,0,0.011627907,0,2
BLAN,101,2023,163,0,0,0,0
BLAN,121,2023,327,0,0.003058104,0,1
BLAN,142,2023,318,0,0.034591195,0,11
BLAN,144,2023,140,0.021428571,0.014285714,3,2
BLAN,164,2023,477,0,0.037735849,0,18
BLAN,184,2023,137,0.306569343,0,42,0
BLAN,186,2023,320,0,0.01875,0,6
BLAN,187,2023,160,0,0.00625,0,1
BLAN,206,2023,160,0.94375,0.00625,151,1
BLAN,207,2023,160,1.2875,0.00625,206,1
BLAN,212,2023,466,1.557939914,0,726,0
BLAN,213,2023,160,0.39375,0,63,0
BLAN,227,2023,317,0.372239748,0,118,0
BLAN,229,2023,308,0.996753247,0.006493506,307,2
BLAN,248,2023,100,10,0,1000,0
BLAN,249,2023,319,0.156739812,0,50,0
HARV,105,2016,645,0,0,0,0
HARV,106,2016,315,0,0,0,0
HARV,127,2016,640,0,0,0,0
HARV,131,2016,320,0,0,0,0
HARV,147,2016,951,0.021030494,0.030494217,20,29
HARV,168,2016,960,0.18125,0.023958333,174,23
HARV,189,2016,960,0,0.017708333,0,17
HARV,209,2016,960,0,0.002083333,0,2
HARV,231,2016,960,0.570833333,0.007291667,548,7
HARV,252,2016,960,0,0.001041667,0,1
HARV,273,2016,480,0,0,0,0
HARV,300,2016,965,0,0.101554404,0,98
HARV,312,2016,960,0.046875,0.001041667,45,1
HARV,107,2017,640,0,0.0015625,0,1
HARV,108,2017,310,0,0.003225806,0,1
HARV,128,2017,480,0,0.010416667,0,5
HARV,129,2017,465,0,0.004301075,0,2
HARV,150,2017,645,0,0.041860465,0,27
HARV,153,2017,315,0.006349206,0,2,0
HARV,171,2017,320,0,0,0,0
HARV,173,2017,623,0,0.041733547,0,26
HARV,191,2017,950,0.003157895,0.030526316,3,29
HARV,212,2017,629,0,0.020667727,0,13
HARV,213,2017,320,0,0.015625,0,5
HARV,233,2017,960,0.10625,0.00625,102,6
HARV,255,2017,624,0.552884615,0.001602564,345,1
HARV,256,2017,320,0.190625,0.00625,61,2
HARV,275,2017,957,0.039707419,0.003134796,38,3
HARV,113,2018,640,0,0,0,0
HARV,114,2018,320,0,0,0,0
HARV,134,2018,655,0.001526718,0.004580153,1,3
HARV,135,2018,160,0,0,0,0
HARV,136,2018,160,0,0,0,0
HARV,157,2018,834,0.069544365,0.01558753,58,13
HARV,158,2018,160,0,0,0,0
HARV,176,2018,480,0.008333333,0.022916667,4,11
HARV,177,2018,319,0.021943574,0.012539185,7,4
HARV,178,2018,160,0,0.0125,0,2
HARV,197,2018,960,0.002083333,0.026041667,2,25
HARV,219,2018,805,0,0.011180124,0,9
HARV,220,2018,160,0,0,0,0
HARV,239,2018,640,0.2984375,0.009375,191,6
HARV,240,2018,320,0.721875,0.009375,231,3
HARV,260,2018,800,0.12125,0.0025,97,2
HARV,263,2018,153,0.241830065,0.013071895,37,2
HARV,112,2019,160,0,0,0,0
HARV,135,2019,480,0,0,0,0
HARV,155,2019,640,0.10625,0.0171875,68,11
HARV,156,2019,160,0.175,0.03125,28,5
HARV,175,2019,960,0.002083333,0.05625,2,54
HARV,196,2019,337,0,0.035608309,0,12
HARV,197,2019,640,0.0734375,0.075,47,48
HARV,217,2019,480,0.425,0.039583333,204,19
HARV,218,2019,469,0.038379531,0.044776119,18,21
HARV,238,2019,480,0.241666667,0.033333333,116,16
HARV,239,2019,480,0.214583333,0,103,0
HARV,259,2019,480,0.360416667,0.010416667,173,5
HARV,260,2019,484,0.138429752,0.020661157,67,10
HARV,184,2020,165,0,0.024242424,0,4
HARV,187,2020,816,0.024509804,0.028186275,20,23
HARV,206,2020,322,0.195652174,0.01863354,63,6
HARV,208,2020,640,0.0203125,0.0125,13,8
HARV,222,2020,160,1.1875,0.00625,190,1
HARV,223,2020,480,0.2375,0.008333333,114,4
HARV,224,2020,320,0.0375,0.003125,12,1
HARV,248,2020,335,1.07761194,0.017910448,361,6
HARV,249,2020,625,0.192,0.0032,120,2
HARV,110,2021,160,0,0,0,0
HARV,113,2021,160,0,0,0,0
HARV,132,2021,160,0,0,0,0
HARV,133,2021,474,0,0.008438819,0,4
HARV,174,2021,640,0,0.021875,0,14
HARV,175,2021,315,0.041269841,0.031746032,13,10
HARV,196,2021,430,0,0.023255814,0,10
HARV,214,2021,318,0.009433962,0.003144654,3,1
HARV,215,2021,160,0.05,0.025,8,4
HARV,216,2021,310,0.258064516,0.016129032,80,5
HARV,236,2021,160,0,0.01875,0,3
HARV,238,2021,478,0.058577406,0.008368201,28,4
HARV,257,2021,634,0.03785489,0.011041009,24,7
HARV,258,2021,160,0.14375,0.0125,23,2
HARV,108,2022,477,0.002096436,0,1,0
HARV,110,2022,320,0,0,0,0
HARV,130,2022,160,0,0,0,0
HARV,131,2022,320,0,0,0,0
HARV,150,2022,320,0.003125,0,1,0
HARV,151,2022,320,0,0.00625,0,2
HARV,171,2022,480,0,0.00625,0,3
HARV,172,2022,160,0,0.0125,0,2
HARV,192,2022,480,0,0.002083333,0,1
HARV,193,2022,320,0,0.00625,0,2
HARV,215,2022,320,0.228125,0.003125,73,1
HARV,216,2022,620,0.724193548,0.001612903,449,1
HARV,236,2022,80,0,0.025,0,2
HARV,257,2022,160,1.25,0,200,0
HARV,258,2022,160,0.0125,0,2,0
HARV,135,2023,159,0,0,0,0
HARV,138,2023,459,0,0,0,0
HARV,157,2023,411,0.379562044,0.109489051,156,45
HARV,163,2023,170,0.629411765,0.058823529,107,10
HARV,165,2023,332,0.09939759,0.129518072,33,43
HARV,177,2023,308,0.230519481,0.071428571,71,22
HARV,181,2023,560,0,0.0625,0,35
HARV,198,2023,150,0.046666667,0.04,7,6
HARV,199,2023,643,0,0.038880249,0,25
HARV,219,2023,244,2.040983607,0.036885246,498,9
HARV,221,2023,662,0.738670695,0.042296073,489,28
HARV,240,2023,841,1.312722949,0.01783591,1104,15
HARV,263,2023,320,1.44375,0.028125,462,9
HARV,264,2023,638,0.650470219,0.017241379,415,11
HARV,113,2024,314,0,0,0,0
HARV,134,2024,789,0.063371356,0.007604563,50,6
HARV,155,2024,480,0,0.008333333,0,4
HARV,156,2024,320,0.384375,0.025,123,8
HARV,176,2024,640,0.2578125,0.015625,165,10
HARV,177,2024,320,0.009375,0.009375,3,3
HARV,198,2024,326,0.466257669,0.015337423,152,5
HARV,218,2024,480,0.766666667,0.014583333,368,7
HARV,221,2024,482,1.10373444,0.010373444,532,5
HARV,239,2024,476,0.668067227,0.006302521,318,3
HARV,260,2024,964,0.357883817,0.003112033,345,3
SCBI,68,2016,461,0,0,0,0
SCBI,69,2016,495,0,0,0,0
SCBI,88,2016,321,0,0,0,0
SCBI,89,2016,314,0,0,0,0
SCBI,90,2016,319,0,0,0,0
SCBI,109,2016,772,0,0,0,0
SCBI,110,2016,162,0,0,0,0
SCBI,130,2016,80,0,0,0,0
SCBI,137,2016,329,0,0.018237082,0,6
SCBI,152,2016,948,0,0.077004219,0,73
SCBI,172,2016,739,0,0.02165088,0,16
SCBI,174,2016,160,0,0.19375,0,31
SCBI,193,2016,620,0.024193548,0.012903226,15,8
SCBI,194,2016,302,0,0.023178808,0,7
SCBI,214,2016,465,1.294623656,0,602,0
SCBI,217,2016,287,0.013937282,0.013937282,4,4
SCBI,221,2016,133,0,0.007518797,0,1
SCBI,235,2016,623,1.622792937,0,1011,0
SCBI,237,2016,318,0.301886792,0.003144654,96,1
SCBI,256,2016,962,1.189189189,0,1144,0
SCBI,277,2016,264,0.026515152,0,7,0
SCBI,278,2016,641,0.04524181,0.004680187,29,3
SCBI,298,2016,948,0,0,0,0
SCBI,319,2016,968,0.001033058,0.002066116,1,2
SCBI,342,2016,318,0,0,0,0
SCBI,344,2016,521,0,0,0,0
SCBI,79,2017,309,0,0,0,0
SCBI,82,2017,587,0,0,0,0
SCBI,100,2017,929,0,0.007534984,0,7
SCBI,122,2017,924,0,0.015151515,0,14
SCBI,150,2017,130,0,0.069230769,0,9
SCBI,151,2017,753,0,0.066401062,0,50
SCBI,163,2017,759,0,0.032938076,0,25
SCBI,164,2017,160,0,0.13125,0,21
SCBI,184,2017,899,0.04894327,0.027808676,44,25
SCBI,205,2017,459,2.076252723,0.004357298,953,2
SCBI,206,2017,112,0.321428571,0,36,0
SCBI,207,2017,320,0.621875,0.096875,199,31
SCBI,222,2017,302,0.205298013,0.006622517,62,2
SCBI,226,2017,308,2.324675325,0.003246753,716,1
SCBI,228,2017,322,0.403726708,0.00621118,130,2
SCBI,248,2017,574,0.022648084,0.003484321,13,2
SCBI,251,2017,321,0.087227414,0,28,0
SCBI,268,2017,590,0.066101695,0.001694915,39,1
SCBI,272,2017,303,0,0,0,0
SCBI,85,2018,318,0,0,0,0
SCBI,89,2018,589,0.001697793,0.001697793,1,1
SCBI,107,2018,313,0,0,0,0
SCBI,108,2018,401,0,0.004987531,0,2
SCBI,109,2018,160,0,0,0,0
SCBI,123,2018,895,0,0.007821229,0,7
SCBI,149,2018,894,0,0.071588367,0,64
SCBI,169,2018,937,0,0.058697972,0,55
SCBI,190,2018,870,0.012643678,0.04137931,11,36
SCBI,211,2018,592,0.006756757,0.027027027,4,16
SCBI,218,2018,296,2.189189189,0.010135135,648,3
SCBI,235,2018,701,0.714693295,0.002853067,501,2
SCBI,236,2018,160,0.0375,0.0125,6,2
SCBI,262,2018,594,0.018518519,0.001683502,11,1
SCBI,263,2018,160,0.2625,0.00625,42,1
SCBI,274,2018,783,0.104725415,0.042145594,82,33
SCBI,84,2019,628,0.001592357,0.00477707,1,3
SCBI,106,2019,598,0,0.001672241,0,1
SCBI,126,2019,160,0,0.0125,0,2
SCBI,135,2019,726,0.00137741,0.020661157,1,15
SCBI,150,2019,157,0,0.01910828,0,3
SCBI,154,2019,160,0,0.05,0,8
SCBI,168,2019,800,0,0.02625,0,21
SCBI,171,2019,127,0,0.05511811,0,7
SCBI,191,2019,265,0.098113208,0.022641509,26,6
SCBI,196,2019,633,0.039494471,0.014218009,25,9
SCBI,210,2019,789,0.069708492,0.005069708,55,4
SCBI,217,2019,121,0.016528926,0.016528926,2,2
SCBI,231,2019,762,0.715223097,0.002624672,545,2
SCBI,232,2019,125,0.008,0,1,0
SCBI,252,2019,160,1.6875,0,270,0
SCBI,253,2019,284,0.665492958,0,189,0
SCBI,254,2019,320,0.096875,0.003125,31,1
SCBI,255,2019,110,0.009090909,0.009090909,1,1
SCBI,274,2019,160,0.33125,0,53,0
SCBI,275,2019,140,0.75,0,105,0
SCBI,280,2019,320,0.025,0,8,0
SCBI,174,2020,414,0,0.02173913,0,9
SCBI,195,2020,485,0.210309278,0.01443299,102,7
SCBI,197,2020,374,0.176470588,0.005347594,66,2
SCBI,216,2020,395,0.043037975,0.010126582,17,4
SCBI,237,2020,400,0.265,0.0025,106,1
SCBI,238,2020,256,0.1015625,0,26,0
